Date,Store,Category,Region,Sales
2022-01-01,Store_1,Electronics,East,597.2510857274663
2022-01-01,Store_2,Clothing,East,708.0805121353593
2022-01-01,Store_2,Electronics,South,818.7136054132858
2022-01-01,Store_2,Grocery,South,734.2886844324195
2022-01-02,Store_1,Home & Furniture,North,811.0369435378998
2022-01-02,Store_1,Clothing,East,818.975975653832
2022-01-03,Store_3,Grocery,South,476.080248310552
2022-01-03,Store_3,Grocery,East,450.931386475117
2022-01-03,Store_1,Clothing,North,521.7211016355832
2022-01-03,Store_3,Clothing,North,507.55175870644285
2022-01-04,Store_3,Home & Furniture,East,465.7093901669595
2022-01-04,Store_1,Home & Furniture,East,490.4249853770018
2022-01-05,Store_2,Grocery,South,498.8369234409328
2022-01-05,Store_2,Grocery,West,548.3408728079792
2022-01-05,Store_3,Home & Furniture,South,534.6840250317983
2022-01-05,Store_3,Home & Furniture,North,587.7338428633782
2022-01-06,Store_2,Clothing,North,439.89351206027834
2022-01-06,Store_2,Electronics,West,393.9568024065359
2022-01-06,Store_1,Clothing,North,399.8237569121582
2022-01-07,Store_1,Clothing,North,581.7618059685622
2022-01-07,Store_3,Clothing,East,469.8878489553938
2022-01-08,Store_3,Clothing,North,749.306814788899
2022-01-08,Store_2,Electronics,West,758.3302677073889
2022-01-09,Store_1,Home & Furniture,West,708.1749079938529
2022-01-09,Store_3,Grocery,West,640.2861726368029
2022-01-09,Store_1,Clothing,West,670.8117597996762
2022-01-09,Store_1,Clothing,North,776.9390169726777
2022-01-10,Store_2,Clothing,North,557.9835395826132
2022-01-10,Store_2,Clothing,East,459.55760156333156
2022-01-10,Store_1,Clothing,East,596.9952838486106
2022-01-10,Store_3,Clothing,West,522.2159201755129
2022-01-11,Store_1,Home & Furniture,North,460.40072821705087
2022-01-11,Store_3,Clothing,North,609.9279412187162
2022-01-11,Store_3,Clothing,North,539.1653684536208
2022-01-11,Store_2,Grocery,North,472.9658537371938
2022-01-12,Store_1,Electronics,South,500.88033648696097
2022-01-12,Store_2,Grocery,East,422.4269602250108
2022-01-12,Store_2,Clothing,West,522.7130986746026
2022-01-13,Store_1,Clothing,South,488.22005509064485
